mes_ano,variacao_mes,acumulado_ano
Dez/2019,1.22,4.4816
Jan/2020,0.19,0.19
Fev/2020,0.17,0.3603
Mar/2020,0.18,0.541
Abr/2020,-0.23,0.3097
Mai/2020,-0.25,0.059
Jun/2020,0.3,0.3591
Jul/2020,0.44,0.8007
Ago/2020,0.36,1.1636
Set/2020,0.87,2.0437
Out/2020,0.89,2.9519
Nov/2020,0.95,3.9299
Dez/2020,1.46,5.4473
Jan/2021,0.27,0.27
Fev/2021,0.82,1.0922
Mar/2021,0.86,1.9616
Abr/2021,0.38,2.3491
Mai/2021,0.96,3.3316
Jun/2021,0.6,3.9516
Jul/2021,1.02,5.0119
Ago/2021,0.88,5.936
Set/2021,1.2,7.2072
Out/2021,1.16,8.4508
Nov/2021,0.84,9.3618
Dez/2021,0.73,10.1602
Jan/2022,0.67,0.67
Fev/2022,1,1.6767
Mar/2022,1.71,3.4154
Abr/2022,1.04,4.4909
Mai/2022,0.45,4.9611
Jun/2022,0.62,5.6119
Jul/2022,-0.6,4.9782
Ago/2022,-0.31,4.6528
Set/2022,-0.32,4.3179
Out/2022,0.47,4.8082
Nov/2022,0.38,5.2064
Dez/2022,0.69,5.9324
Jan/2023,0.46,0.46
Fev/2023,0.77,1.2335
Mar/2023,0.64,1.8814
Abr/2023,0.53,2.4214
Mai/2023,0.36,2.7901
Jun/2023,-0.1,2.6873
Jul/2023,-0.09,2.5949
Ago/2023,0.2,2.8001
