MesAno,Valor
Aug/16,14.15
Sep/16,14.15
Oct/16,14.05
Nov/16,13.9
Dec/16,13.65
Jan/17,13.17
Feb/17,12.82
Mar/17,12.15
Apr/17,11.59
May/17,11.15
Jun/17,10.15
Jul/17,10.01
Aug/17,9.15
Sep/17,8.35
Oct/17,8.01
Nov/17,7.4
Dec/17,7
Jan/18,6.9
Feb/18,6.72
Mar/18,6.58
Apr/18,6.4
May/18,6.4
Jun/18,6.4
Jul/18,6.4
Aug/18,6.4
Sep/18,6.4
Oct/18,6.4
Nov/18,6.4
Dec/18,6.4
Jan/19,6.4
Feb/19,6.4
Mar/19,6.4
Apr/19,6.4
May/19,6.4
Jun/19,6.4
Jul/19,6.4
Aug/19,5.9
Sep/19,5.71
Oct/19,5.38
Nov/19,4.9
Dec/19,4.59
Jan/20,4.4
Feb/20,4.19
Mar/20,3.95
Apr/20,3.65
May/20,3.01
Jun/20,2.58
Jul/20,2.15
Aug/20,1.94
Sep/20,1.9
Oct/20,1.9
Nov/20,1.9
Dec/20,1.9
Jan/21,1.9
Feb/21,1.9
Mar/21,2.23
Apr/21,2.65
May/21,3.29
Jun/21,3.76
Jul/21,4.15
Aug/21,5.01
Sep/21,5.43
Oct/21,6.3
Nov/21,7.65
Dec/21,8.76
Jan/22,9.15
Feb/22,10.49
Mar/22,11.15
Apr/22,11.65
May/22,12.51
Jun/22,12.89
Jul/22,13.15
Aug/22,13.58
Sep/22,13.65
Oct/22,13.65
Nov/22,13.65
Dec/22,13.65
Jan/23,13.65
Feb/23,13.65
65
